"","Sample.ID","meth_exp_group"
"1","1047","D"
"2","1051","T1"
"3","1090","T2"
"4","1103","T1"
"5","1147","T1"
"6","1159","D"
"7","1168","D"
"8","1184","T2"
"9","1238","T2"
"10","1281","D"
"11","1296","D"
"12","1303","D"
"13","1329","D"
"14","1416","D"
"15","1427","T2"
"16","1459","T1"
"17","1487","D"
"18","1536","T2"
"19","1559","T2"
"20","1563","T2"
"21","1571","D"
"22","1582","T2"
"23","1596","T1"
"24","1641","T2"
"25","1647","T2"
"26","1707","T1"
"27","1709","T1"
"28","1728","T1"
"29","1732","T2"
"30","1755","D"
"31","1757","T2"
"32","1765","T2"
"33","1777","T1"
"34","1820","T2"
"35","2012","T1"
"36","2064","T1"
"37","2072","T1"
"38","2087","T1"
"39","2212","D"
"40","2300","T1"
"41","2304","T1"
"42","2306","T1"
"43","2409","T2"
"44","2413","T1"
"45","2513","T1"
"46","2564","T2"
"47","2668","D"
"48","2861","D"
"49","2877","T1"
"50","2878","T1"
"51","2879","D"
